Population: 400
Percentage of population that is vaccinated: 0.9
Virus Name: Ebola
Virus Mortality Rate: 0.7
Virus Reproduction Rate: 0.25
Time step 0 ended, beginning 1
101 didn't infect 23 because vaccinated 
101 didn't infect 166 because vaccinated 
101 didn't infect 28 because vaccinated 
101 didn't infect 150 because vaccinated 
101 didn't infect 183 because vaccinated 
101 didn't infect 191 because vaccinated 
101 infects 220 
101 didn't infect 271 because vaccinated 
101 didn't infect 210 because vaccinated 
101 didn't infect 289 because vaccinated 
101 didn't infect 349 because vaccinated 
101 didn't infect 92 because vaccinated 
101 didn't infect 87 because vaccinated 
101 didn't infect 89 because vaccinated 
101 didn't infect 40 because vaccinated 
101 didn't infect 312 because vaccinated 
101 didn't infect 195 because vaccinated 
101 didn't infect 317 because vaccinated 
101 didn't infect 349 because vaccinated 
101 didn't infect 123 because vaccinated 
101 didn't infect 254 because vaccinated 
101 didn't infect 298 because vaccinated 
101 didn't infect 73 because vaccinated 
101 didn't infect 118 because vaccinated 
101 didn't infect 236 because vaccinated 
101 didn't infect 326 because vaccinated 
101 didn't infect 130 because vaccinated 
101 didn't infect 341 because vaccinated 
101 didn't infect 4 because vaccinated 
101 didn't infect 238 because vaccinated 
101 didn't infect 147 because vaccinated 
101 didn't infect 346 because vaccinated 
101 didn't infect 279 because vaccinated 
101 didn't infect 80 because vaccinated 
101 didn't infect 37 because vaccinated 
101 didn't infect 226 because vaccinated 
101 didn't infect 176 because vaccinated 
101 didn't infect 300 because vaccinated 
101 didn't infect 153 because vaccinated 
101 didn't infect 327 because vaccinated 
101 didn't infect 217 because vaccinated 
101 didn't infect 353 because vaccinated 
101 didn't infect 128 because vaccinated 
101 didn't infect 233 because vaccinated 
101 didn't infect 154 because vaccinated 
101 didn't infect 196 because vaccinated 
101 didn't infect 247 because vaccinated 
101 didn't infect 54 because vaccinated 
101 didn't infect 121 because vaccinated 
101 didn't infect 195 because vaccinated 
101 didn't infect 292 because vaccinated 
101 didn't infect 183 because vaccinated 
101 didn't infect 294 because vaccinated 
101 didn't infect 151 because vaccinated 
101 didn't infect 358 because vaccinated 
101 didn't infect 151 because vaccinated 
101 didn't infect 11 because vaccinated 
101 didn't infect 337 because vaccinated 
101 didn't infect 202 because vaccinated 
101 didn't infect 140 because vaccinated 
101 didn't infect 4 because vaccinated 
101 didn't infect 289 because vaccinated 
101 didn't infect 351 because already sick 
101 didn't infect 398 because vaccinated 
101 didn't infect 381 because vaccinated 
101 didn't infect 25 because vaccinated 
101 didn't infect 310 because vaccinated 
101 didn't infect 381 because vaccinated 
101 didn't infect 254 because vaccinated 
101 didn't infect 146 because vaccinated 
101 didn't infect 397 because vaccinated 
101 didn't infect 117 because vaccinated 
101 didn't infect 310 because vaccinated 
101 didn't infect 180 because vaccinated 
155 didn't infect 112 because vaccinated 
155 didn't infect 325 because vaccinated 
155 didn't infect 97 because vaccinated 
155 didn't infect 317 because vaccinated 
155 didn't infect 128 because vaccinated 
155 didn't infect 347 because vaccinated 
155 didn't infect 386 because vaccinated 
155 didn't infect 369 because vaccinated 
155 didn't infect 392 because vaccinated 
155 didn't infect 337 because vaccinated 
155 didn't infect 348 because vaccinated 
155 didn't infect 70 because vaccinated 
155 didn't infect 321 because vaccinated 
